city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
Sept-Îles,CA,1631345057,50.2001,-66.3821,13.36,83,75,2.68
Isangel,VU,1631345058,-19.55,169.2667,20.93,68,28,5.85
Ambovombe,MG,1631345060,-25.1667,46.0833,21.9,49,0,8.7
Houma,US,1631345061,29.5958,-90.7195,21.12,89,0,2.32
Honningsvåg,NO,1631345062,70.9821,25.9704,6.94,64,99,6.44
Cravinhos,BR,1631345063,-21.3403,-47.7294,19.4,70,100,1.68
Princeton,US,1631344862,25.5384,-80.4089,26.1,89,40,0.0
La Ronge,CA,1631345064,55.1001,-105.2842,8.14,71,1,2.57
Karaton,ID,1631345066,-6.3424,106.1045,31.09,61,91,1.44
Yalutorovsk,RU,1631345066,56.6536,66.3006,5.1,92,100,6.36
Udachny,RU,1631345067,66.4167,112.4,16.3,54,100,4.9
Hervey Bay,AU,1631345068,-25.2986,152.8535,21.69,64,0,5.1
Hailar,CN,1631345070,49.2,119.7,11.57,79,96,2.34
Xushan,CN,1631345072,30.1764,121.2457,29.96,81,21,5.74
Dogondoutchi,NE,1631345073,13.6393,4.0287,27.1,74,0,4.62
Szamotuły,PL,1631345074,52.612,16.5779,20.73,77,100,3.52
Mahesāna,IN,1631345075,23.6,72.4,28.75,72,92,4.75
Mokhsogollokh,RU,1631345076,61.4681,128.9203,17.58,29,92,1.89
Fairbanks,US,1631345076,64.8378,-147.7164,12.0,79,90,5.14
Sangar,RU,1631345077,63.9242,127.4739,13.89,43,94,1.26
Melfi,IT,1631345078,40.9965,15.6514,21.33,62,100,1.43
Puerto Escondido,MX,1631345079,15.85,-97.0667,24.86,91,100,2.01
Toora-Khem,RU,1631345080,52.4675,96.11,16.76,28,10,1.26
Tilichiki,RU,1631345081,60.4667,166.1,2.99,75,100,9.81
Partūr,IN,1631345081,19.6,76.2167,28.3,67,98,5.98
Hamilton,US,1631345053,39.1834,-84.5333,17.42,87,1,0.0
Nālūt,LY,1631345083,30.3333,10.85,30.73,20,38,4.76
Lesosibirsk,RU,1631345084,58.2358,92.4828,15.99,47,100,3.84
Hambantota,LK,1631345084,6.1241,81.1185,32.19,70,75,6.69
Coquimbo,CL,1631345085,-29.9533,-71.3436,12.85,82,90,1.03
Shingū,JP,1631345086,33.7333,135.9833,28.55,88,100,1.1
Talaya,RU,1631345087,61.3833,152.75,1.27,57,100,6.05
Imbituba,BR,1631345089,-28.24,-48.6703,16.94,88,58,1.79
Nizwá,OM,1631345090,22.9333,57.5333,36.59,29,38,2.9
Krabi,TH,1631345091,8.0726,98.9105,29.06,83,75,3.09
Kristinestad,FI,1631345091,62.2743,21.376,11.9,97,100,0.59
Ola,RU,1631345092,59.5833,151.2833,9.28,43,9,4.94
Paka,MY,1631345093,4.6374,103.4368,29.96,66,40,2.06
Gouyave,GD,1631345094,12.1646,-61.7296,25.43,89,20,3.09
Asău,RO,1631345095,46.4333,26.4,18.75,34,100,0.53
Luancheng,CN,1631345095,37.8792,114.6517,32.09,53,0,2.4
Acajutla,SV,1631345096,13.5928,-89.8275,24.89,87,100,4.07
Pokhara,NP,1631344876,28.2333,83.9833,25.73,75,100,0.45
Ajmer,IN,1631345098,26.45,74.6333,28.0,73,100,5.24
Sheridan,US,1631345099,44.8333,-106.9173,23.1,42,1,3.09
Havre-St-Pierre,CA,1631345100,50.2334,-63.5986,12.2,94,1,6.17
Lusaka,ZM,1631345101,-15.4067,28.2871,15.57,66,100,5.54
Norman Wells,CA,1631345102,65.282,-126.8329,13.02,62,75,6.17
Marsá Maţrūḩ,EG,1631345102,31.3525,27.2453,27.11,61,40,4.63
Bereket,TM,1631345104,39.2446,55.5154,28.77,15,0,6.97
Salalah,OM,1631345105,17.0151,54.0924,29.05,84,90,3.09
Kavieng,PG,1631344991,-2.5744,150.7967,28.98,70,6,5.87
Klaksvík,FO,1631345106,62.2266,-6.589,10.51,76,90,1.9
Latung,PH,1631345107,5.5,120.8833,28.61,75,52,3.61
Angoche,MZ,1631345108,-16.2325,39.9086,26.18,63,32,4.81
Kralendijk,BQ,1631345109,12.15,-68.2667,27.99,83,20,6.17
